Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2022,4.2617,4.2724,4.2371,4.2371,-0.0215,-0.50%,1544
01/14/2022,4.2617,4.2656,4.2532,4.2586,-0.0031,-0.07%,1967
01/13/2022,4.2657,4.2695,4.2546,4.2617,-0.004,-0.09%,1917
01/12/2022,4.2662,4.2867,4.2605,4.2657,0,0.00%,1902
01/11/2022,4.3085,4.3095,4.2652,4.2657,-0.0426,-0.99%,1949
01/10/2022,4.3128,4.3169,4.2124,4.3083,0.0034,+0.08%,1979
01/07/2022,4.2982,4.3174,4.2901,4.3049,0.0064,+0.15%,1963
01/06/2022,4.2542,4.2998,4.254,4.2985,0.0443,+1.04%,1930
01/05/2022,4.2612,4.2636,4.2443,4.2542,-0.007,-0.16%,1938
01/04/2022,4.2602,4.2741,4.2547,4.2612,0.0006,+0.01%,1936
01/03/2022,4.2566,4.271,4.2442,4.2606,0.0034,+0.08%,1950
12/31/2021,4.2663,4.2737,4.2453,4.2572,-0.0089,-0.21%,1982
12/30/2021,4.2895,4.2918,4.265,4.2661,-0.023,-0.54%,1959
12/29/2021,4.2962,4.3015,4.2884,4.2891,-0.0071,-0.17%,1965
12/28/2021,4.2927,4.299,4.2873,4.2962,0.0035,+0.08%,1948
12/27/2021,4.2846,4.3005,4.2791,4.2927,0.012,+0.28%,1928
12/24/2021,4.2897,4.2947,4.2756,4.2807,-0.009,-0.21%,1966
12/23/2021,4.3078,4.3097,4.2869,4.2897,-0.0181,-0.42%,1973
12/22/2021,4.3128,4.3323,4.3043,4.3078,-0.0049,-0.11%,1977
12/21/2021,4.3017,4.3218,4.3008,4.3127,0.0108,+0.25%,1945
12/20/2021,4.2984,4.3078,4.2077,4.3019,0.0328,+0.77%,2025
12/17/2021,4.2764,4.2775,4.2616,4.2691,-0.0073,-0.17%,1970
12/16/2021,4.2766,4.2861,4.2703,4.2764,0.0001,0.00%,1930
12/15/2021,4.2788,4.2877,4.2731,4.2763,-0.0025,-0.06%,1937
12/14/2021,4.2799,4.2832,4.2702,4.2788,-0.0015,-0.04%,1917
12/13/2021,4.2957,4.3074,4.2145,4.2803,-0.0216,-0.50%,1927
12/10/2021,4.3051,4.3176,4.2987,4.3019,-0.0032,-0.07%,1972
12/09/2021,4.2884,4.3066,4.2753,4.3051,0.0168,+0.39%,1935
12/08/2021,4.3059,4.3089,4.2786,4.2883,-0.0175,-0.41%,1941
12/07/2021,4.3301,4.3398,4.3039,4.3058,-0.024,-0.55%,1937
12/06/2021,4.3437,4.349,4.2595,4.3298,-0.0064,-0.15%,1979
12/03/2021,4.3406,4.357,4.33,4.3362,-0.0046,-0.11%,1932
12/02/2021,4.3227,4.3471,4.3203,4.3408,0.0182,+0.42%,1946
12/01/2021,4.3172,4.3269,4.3098,4.3226,0.0053,+0.12%,1901
11/30/2021,4.3148,4.3277,4.3029,4.3173,0.0026,+0.06%,1912
11/29/2021,4.3238,4.333,4.3116,4.3147,-0.0082,-0.19%,1970
11/26/2021,4.28,4.3229,4.2747,4.3229,0.0425,+0.99%,1782
11/25/2021,4.2754,4.2826,4.2593,4.2804,0.0047,+0.11%,1924
11/24/2021,4.2455,4.2797,4.2432,4.2757,0.0301,+0.71%,1969
11/23/2021,4.2358,4.2492,4.2306,4.2456,0.0098,+0.23%,1963
11/22/2021,4.2058,4.2365,4.2013,4.2358,0.0306,+0.73%,2001
11/19/2021,4.1783,4.212,4.1773,4.2052,0.027,+0.65%,1988
11/18/2021,4.1868,4.1905,4.1758,4.1782,-0.0086,-0.21%,1982
11/17/2021,4.2008,4.2119,4.185,4.1868,-0.0141,-0.34%,1984
11/16/2021,4.1987,4.2031,4.1897,4.2009,0.0021,+0.05%,1963
11/15/2021,4.2071,4.2071,4.1869,4.1988,0.0016,+0.04%,1967
11/12/2021,4.2112,4.2153,4.1957,4.1972,-0.0137,-0.33%,1988
11/11/2021,4.21,4.2247,4.2029,4.2109,0.0009,+0.02%,1950
11/10/2021,4.2021,4.2102,4.192,4.21,0.0078,+0.19%,1975
11/09/2021,4.2228,4.2248,4.198,4.2022,-0.0206,-0.49%,1972
11/08/2021,4.2719,4.2719,4.2209,4.2228,-0.0315,-0.74%,2015
11/05/2021,4.2788,4.2856,4.254,4.2543,-0.0243,-0.57%,2000
11/04/2021,4.275,4.2948,4.2713,4.2786,0.0037,+0.09%,1988
11/03/2021,4.2729,4.2941,4.2694,4.2749,0.002,+0.05%,1981
